,name,id,date,star,content
0,신*미,123508079,2022.10.13,5,
1,조*민,101130378,2022.10.13,5,
2,정*철,878481,2022.10.13,5,
3,김*영,112395457,2022.10.13,4,
4,이*민,149298130,2022.10.13,5,
5,정*지,114103181,2022.10.13,5,
6,태*호,109633796,2022.10.13,5,
7,이*나,30900937,2022.10.13,5,
8,김*환,116398551,2022.10.13,5,
9,장*일,109274700,2022.10.13,5,
10,김*현,118716480,2022.10.13,5,배송도 빠르고 정품이에요! 너무 좋아요!
11,민*옥,660685,2022.10.13,5,제가 사용해 보니 좋아서 하나 더 사서 선물로 줬습니다. 가격이 이곳이 가장 저렴하였습니다.
12,김*숙,31972420,2022.10.13,5,
13,별아천사,22713842,2022.10.13,5,
14,유*상,117405178,2022.10.13,5,배송도 빠르게 오고 상태도 양호하게 와서 선물 주는데 아주 만족스러웠습니다. 선물받은 분도 잘 사용중이라고 합니다.
15,고*망,115431265,2022.10.13,5,
16,선*정,17834599,2022.10.13,5,
17,김*영,108402343,2022.10.13,3,
18,장*랑,128272390,2022.10.13,5,
19,박*진,122883112,2022.10.13,5,
20,김*주,145796460,2022.10.13,5,
21,조*민,103866183,2022.10.13,5,
22,이*호,123299723,2022.10.13,5,
23,김*영,18272301,2022.10.13,5,
24,김*수,23920200,2022.10.13,5,
25,박*영,113911763,2022.10.13,5,
26,유*현,24769639,2022.10.13,5,
27,김*은,63615147,2022.10.13,4,
28,오*정,115353587,2022.10.13,5,
29,강*림,128241426,2022.10.13,4,
30,백*유,144113696,2022.10.13,1,
31,홍*환,38452033,2022.10.13,4,
32,홍*안,127380732,2022.10.13,5,아버지 드리려고 샀는데 빨리 배송와서 좋네요~
33,최*이,113073522,2022.10.13,5,
34,S*d,119522018,2022.10.13,5,
35,유*완,122642315,2022.10.13,5,
36,이*은,109061726,2022.10.13,5,
37,루나앤미키,118116149,2022.10.13,5,
38,김*지,123882981,2022.10.13,5,
39,배*연,46631177,2022.10.13,5,
40,김*훈,112316336,2022.10.13,5,
41,이*영,2756550,2022.10.13,5,
42,I*i,147807422,2022.10.13,5,
43,하*우,110428024,2022.10.12,5,
44,이*준,122253084,2022.10.12,5,
45,박*오,118173347,2022.10.12,5,
46,추*우,32390822,2022.10.12,5,
47,afterglow,101346015,2022.10.12,5,
48,전*원,125107513,2022.10.12,5,
49,권*현,118450381,2022.10.12,5,
